0,SansHead,Default,,
0,SansTorso,Default,,
0,SansAnimation,Idle,,
0,HeartMode,0,,,,,,
0,CombatZoneResizeInstant,242,326,424,381,,,,
0,HeartTeleport,320,364,,,,,,
1,BoneV,640,335,40,2,150,1
0.9,BoneV,640,333,20,2,230,0
0.7,BoneV,640,335,40,2,200,1
0.7,BoneV,640,355,20,2,220,0
0.7,BoneV,640,335,40,2,200,1
0.9,BoneV,640,333,20,2,230,0
0.7,BoneV,640,335,40,2,180,1
0.7,BoneV,660,355,20,2,220,0
0.5,BoneV,640,335,40,2,200,1
0.7,BoneV,660,355,20,2,220,0
0.7,BoneV,640,335,40,2,190,1
0.9,BoneV,660,333,20,2,220,0
0.7,BoneV,640,335,40,2,180,1
0.7,BoneV,660,355,20,2,240,0
2,EndAttack,,,
