0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,310,304,,,,,,
0,HeartMode,0,,,,
0.6,SineBones,20,-24,360,25,,,,
2,SET,Loop,5,,,
0,JMPZ,26,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Direction,4,,,
0,ADD,Jump,$Direction,1,,
0,JMPREL,$Jump,,,,
0,JMPREL,4,,,,
0,JMPREL,5,,,,
0,JMPREL,6,,,,
0,JMPREL,7,,,,
0,SansBody,HandRight,,,,
0,JMPREL,7,,,,
0,SansBody,HandDown,,,,
0,JMPREL,5,,,,
0,SansBody,HandLeft,,,,
0,JMPREL,3,,,,
0,SansBody,HandUp,,,,
0,JMPREL,1,,,,
0.26666,SansSlam,$Direction,,,,
0.2,BoneStab,$Direction,25,0.3,0.2,
0.43333,JMPABS,6,,,,
0,EndAttack,,,,,
