0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0.2,SansHead,Default,,,,,,,
0.05,SansSlam,2,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,BoneStab,2,30,0.3,0.5,,,,
0.6,SansSlam,0,,,,,,,
0,SansBody,HandRight,,,,,,,
0,BoneStab,0,30,0.3,0.5,,,,
0,GasterBlaster,1,0,0,269,166,90,0.333,0.8
0,GasterBlaster,1,640,480,369,446,270,0.333,0.8
0.6,SansSlam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
0,BoneStab,1,30,0.3,0.5,,,,
0.6,SansSlam,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,BoneStab,3,30,0.3,0.5,,,,
0.7,SansAnimation,Idle,,,,,,,
0,HeartMode,0,,,,,,
0,BoneHRepeat,130,-10,200,1,500,7,183
0,BoneHRepeat,330,650,200,3,500,7,183
0,GasterBlaster,1,0,0,189,226,0,0.333,1.6
0,GasterBlaster,1,640,480,449,386,180,0.333,1.6
2.6666666,SansTorso,Default,,,,,,
0,SansBody,HandLeft,,,,,,,
0.2,SansSlam,2,,,,,,,
0.3,BoneStab,2,40,0.3,0.3,,,,
0,GasterBlaster,1,0,0,189,246,0,0,0
0,GasterBlaster,1,0,0,259,166,90,0,0
0,GasterBlaster,1,640,480,449,366,180,0,0
0,GasterBlaster,1,640,480,379,446,270,0,0
0.5,SansBody,HandRight,,,,,,,
0.2,HeartMaxFallSpeed,450,,,,,,,
0,SansSlam,0,,,,,,,
0,CombatZoneResizeInstant,241,226,449,391,,,,
0,CombatZoneSpeed,900,,,,,,,
0,CombatZoneResize,241,226,650,391,,,,
0.33333,HeartMaxFallSpeed,-370,,,,,,,
0,SansAnimation,Idle,,,,,,,
0,SansRepeat,,,,,,,,
0,CombatZoneResize,-10,226,650,391,,,,
0.3,CombatZoneSpeed,30,,,,,,,
0,CombatZoneResize,-10,264,650,369,,,,
0.9,GetHeartPos,HeartX,HeartY,,,,,,
0,HeartTeleport,40,$HeartY,,,,,,
0,HeartMaxFallSpeed,0,,,,,,,
0,SansSlam,0,,,,,,,
1,HeartMaxFallSpeed,330,,,,,,,
0,SansSlam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
0,GasterBlaster,0.7,640,346,560,346,180,0,0
0.7,SansSlam,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,GasterBlaster,0.7,640,286,560,286,180,0,0
0.7,SansSlam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
0,GasterBlaster,0.7,640,286,560,286,180,0,0
0,BoneStab,1,36,0.4,0.2,,,,
0.7,SansSlam,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,GasterBlaster,0.7,640,346,560,346,180,0,0
0,BoneStab,3,36,0.4,0.2,,,,
1,EndAttack,,,,,,,,
