0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,15,346,61,0,120,,
0.4,BoneVRepeat,133,356,40,0,120,41,15
1.2,Platform,-61,346,61,0,150,,
1.7,Platform,-61,346,61,0,180,,
1,BoneV,133,257,45,0,210,,
0,BoneV,119,257,45,0,210,,
0,BoneV,105,257,45,0,210,,
2.3,BoneV,133,257,95,0,270,,
0.2,SansBody,HandLeft,,,,,,
0,SansHead,BlueEye,,,,,,
0.26666,SansSlam,2,,,,,,
0,BoneStab,2,54,0.64,0.2,,,
1.02,SansHead,NoEyes,,,,,,
0,SansText,i will gonna stop you.,,,,,,
0,SansText,no matter what.,,,,,,
0,EndAttack,,,,,,,
0,SansHead,Default,,,,,,
